18 18 24 21 23 27 20 23 25 23 20 23 23 3 5	0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5	0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3	0.82 0.82 0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3 3 4 6 4 3 4 4 4 4 3 4 4 3	0.82 0.84 0.84 0.82 0.82 0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3 3 4 6 4 3 4 4 4 4 3 4 4 3 3 5 2 5 6 3 4 4 4 3 4 4 3	0.83 0.84 0.84 0.84 0.82 0.84 0.84 0.82 0.82 0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3 3 4 6 4 3 4 4 4 4 3 4 4 3 3 5 2 5 6 3 4 4 4 3 4 4 3 3 4 6 4 3 4 5 3 4 3 4 4 3	0.84 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.82 0.84 0.84 0.82 0.82 0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3 3 4 6 4 3 4 4 4 4 3 4 4 3 3 5 2 5 6 3 4 4 4 3 4 4 3 3 4 6 4 3 4 5 3 4 3 4 4 3 3 6 5 3 5 2 5 5 3 4 4 2 3	0.84 0.85 0.85 0.86 0.86 0.86 0.84 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.82 0.84 0.84 0.82 0.82 0.87
18 18 24 21 23 27 20 23 25 23 20 23 23 3 5 3 4 5 3 5 4 3 4 4 4 3 3 5 3 5 5 4 3 4 4 4 4 3 4 4 3 3 4 6 4 3 4 4 4 4 3 4 4 3 3 5 2 5 6 3 4 4 4 3 4 4 3 3 4 6 4 3 4 5 3 4 3 4 4 3 3 6 5 3 5 2 5 5 3 4 4 2 3 3 7 5 2 5 2 5 5 4 3 4 5	0.84 0.85 0.86 0.87 0.87 0.87 0.87 0.84 0.85 0.85 0.86 0.86 0.86 0.84 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.82 0.84 0.84 0.82 0.82 0.87
