6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4	0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	0.83 0.84 0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 3 5 4 3 4 5 3 4 2 6 5 2	0.84 0.84 0.85 0.83 0.84 0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 3 5 4 3 4 5 3 4 2 6 5 2 5 4 3 5 4 3 4 5 3 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3	0.84 0.85 0.85 0.86 0.84 0.84 0.85 0.83 0.84 0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 3 5 4 3 4 5 3 4 2 6 5 2 5 4 3 5 4 3 4 5 3 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 1 0 0 4 3 5 4 3 4 4 3 4 6 2 5 2	0.85 0.85 0.86 0.87 0.87 0.84 0.85 0.85 0.86 0.84 0.84 0.85 0.83 0.84 0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 3 5 4 3 4 5 3 4 2 6 5 2 5 4 3 5 4 3 4 5 3 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 1 0 0 4 3 5 4 3 4 4 3 4 6 2 5 2 3 5 2 4 6 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 3 5 3 5	0.85 0.86 0.87 0.87 0.88 0.88 0.85 0.85 0.86 0.87 0.87 0.84 0.85 0.85 0.86 0.84 0.84 0.85 0.83 0.84 0.85
6 0 0 3 24 20 25 24 23 24 22 21 21 29 21 23 4 4 6 4 4 4 4 3 5 3 3 6 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 6 4 4 4 4 4 4 4 2 6 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 3 5 4 3 4 5 3 4 2 6 5 2 5 4 3 5 4 3 4 5 3 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 3 1 0 0 4 3 5 4 3 4 4 3 4 6 2 5 2 3 5 2 4 6 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 3 5 3 5 1 0 0 5 4 5 2 6 3 5 2 4 4 5 4	0.85 0.86 0.87 0.88 0.88 0.88 0.88 0.85 0.86 0.87 0.87 0.88 0.88 0.85 0.85 0.86 0.87 0.87 0.84 0.85 0.85 0.86 0.84 0.84 0.85 0.83 0.84 0.85
