23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4	0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3	0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3	0.81 0.82 0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 5 4 3	0.82 0.84 0.84 0.81 0.82 0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 5 4 3 5 7 4 4 4 1 0 0 0 0 0 0 1 5 4 3 5 4 3	0.83 0.84 0.85 0.85 0.82 0.84 0.84 0.81 0.82 0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 5 4 3 5 7 4 4 4 1 0 0 0 0 0 0 1 5 4 3 5 4 3 5 7 4 5 4 0 0 0 0 0 0 0 2 4 4 4 4 5 2	0.83 0.85 0.85 0.86 0.86 0.83 0.84 0.85 0.85 0.82 0.84 0.84 0.81 0.82 0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 5 4 3 5 7 4 4 4 1 0 0 0 0 0 0 1 5 4 3 5 4 3 5 7 4 5 4 0 0 0 0 0 0 0 2 4 4 4 4 5 2 10 3 5 4 3 0 0 0 0 0 0 0 3 5 4 4 4 5	0.84 0.85 0.86 0.87 0.87 0.87 0.83 0.85 0.85 0.86 0.86 0.83 0.84 0.85 0.85 0.82 0.84 0.84 0.81 0.82 0.82
23 28 22 28 25 9 0 0 0 0 0 0 16 17 24 21 26 24 23 4 4 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 4 5 3 5 6 5 4 4 1 0 0 0 0 0 0 1 4 4 4 5 4 3 5 7 4 4 4 1 0 0 0 0 0 0 1 5 4 3 5 4 3 5 7 4 5 4 0 0 0 0 0 0 0 2 4 4 4 4 5 2 10 3 5 4 3 0 0 0 0 0 0 0 3 5 4 4 4 5 3 5 4 4 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 5 4 3	0.84 0.85 0.86 0.87 0.87 0.87 0.87 0.84 0.85 0.86 0.87 0.87 0.87 0.83 0.85 0.85 0.86 0.86 0.83 0.84 0.85 0.85 0.82 0.84 0.84 0.81 0.82 0.82
