5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2	0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5	0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5	0.83 0.84 0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5 1 3 5 3 4 5 3 3 4 4 3 3 4 5	0.83 0.85 0.85 0.83 0.84 0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5 1 3 5 3 4 5 3 3 4 4 3 3 4 5 1 3 5 4 4 4 4 3 4 3 4 4 2 5	0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5 1 3 5 3 4 5 3 3 4 4 3 3 4 5 1 3 5 4 4 4 4 3 4 3 4 4 2 5 5 3 4 4 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 5 3 5 4 2	0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5 1 3 5 3 4 5 3 3 4 4 3 3 4 5 1 3 5 4 4 4 4 3 4 3 4 4 2 5 5 3 4 4 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 5 3 5 4 2 3 5 3 3 5 4 2 5 3 4 4 3 4 2	0.85 0.86 0.86 0.87 0.87 0.87 0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.86
5 13 21 20 22 24 25 24 19 24 23 18 21 23 11 3 2 1 3 4 4 3 4 4 4 4 3 4 3 4 5 1 3 5 3 4 4 3 4 4 3 4 3 4 5 1 3 5 3 4 5 3 3 4 4 3 3 4 5 1 3 5 4 4 4 4 3 4 3 4 4 2 5 5 3 4 4 4 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 5 3 5 4 2 3 5 3 3 5 4 2 5 3 4 4 3 4 2 4 7 4 3 5 2 5 3 4 2 5 4 2	0.85 0.86 0.87 0.87 0.88 0.88 0.88 0.85 0.86 0.86 0.87 0.87 0.87 0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.86
