14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4	0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4	0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4	0.83 0.84 0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4 2 3 4 4 5 4 4 4 2 3 3 4 4 4	0.83 0.85 0.85 0.83 0.84 0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4 2 3 4 4 5 4 4 4 2 3 3 4 4 4 2 5 2 5 4 4 4 4 2 3 4 3 4 4	0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4 2 3 4 4 5 4 4 4 2 3 3 4 4 4 2 5 2 5 4 4 4 4 2 3 4 3 4 4 6 3 4 3 3 3 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 3 3	0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4 2 3 4 4 5 4 4 4 2 3 3 4 4 4 2 5 2 5 4 4 4 4 2 3 4 3 4 4 6 3 4 3 3 3 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 3 3 2 5 2 5 3 4 5 4 2 3 4 2 5 4	0.85 0.86 0.86 0.87 0.87 0.87 0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.88
14 18 16 27 23 24 24 24 17 16 22 18 23 22 4 4 2 3 4 5 4 4 4 4 2 3 3 4 4 4 2 4 3 4 5 4 4 4 2 3 3 4 4 4 2 3 4 4 5 4 4 4 2 3 3 4 4 4 2 5 2 5 4 4 4 4 2 3 4 3 4 4 6 3 4 3 3 3 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 5 3 3 2 5 2 5 3 4 5 4 2 3 4 2 5 4 2 5 2 5 3 4 5 4 2 3 4 2 5 4	0.85 0.86 0.87 0.87 0.88 0.88 0.88 0.85 0.86 0.86 0.87 0.87 0.87 0.85 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.85 0.85 0.83 0.84 0.88
