12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1	0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6	0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6	0.83 0.83 0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 4 4 4 3 6	0.83 0.84 0.84 0.83 0.83 0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 4 4 4 3 6 2 3 5 4 4 4 3 4 4 4 5 3 3 2	0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 4 4 4 3 6 2 3 5 4 4 4 3 4 4 4 5 3 3 2 2 5 3 3 6 3 3 4 4 4 5 2 4 2	0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 4 4 4 3 6 2 3 5 4 4 4 3 4 4 4 5 3 3 2 2 5 3 3 6 3 3 4 4 4 5 2 4 2 5 3 5 4 3 3 4 4 5 4 2 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2	0.84 0.86 0.86 0.87 0.87 0.87 0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.87
12 15 21 26 24 22 20 22 25 25 23 22 29 5 5 1 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 2 6 4 3 6 2 3 4 5 4 4 3 4 4 4 4 3 6 2 3 5 4 4 4 3 4 4 4 5 3 3 2 2 5 3 3 6 3 3 4 4 4 5 2 4 2 5 3 5 4 3 3 4 4 5 4 2 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 6 2 5 3 4 4 5 5 3 4 2	0.85 0.86 0.87 0.87 0.87 0.87 0.87 0.84 0.86 0.86 0.87 0.87 0.87 0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.87
