14 22 25 28 25 21 27 21 24 27 21 26 10 5 2	0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2	0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1	0.82 0.83 0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 5 4 4 4 4 3 5 4 5	0.83 0.83 0.84 0.82 0.83 0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 3 5 4 5	0.83 0.84 0.84 0.84 0.83 0.83 0.84 0.82 0.83 0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 4 4 4 5	0.83 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.83 0.83 0.84 0.82 0.83 0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 4 4 4 5 4 5 4 4 4 5 3 4 5 3 4 5	0.84 0.85 0.85 0.86 0.86 0.86 0.83 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.83 0.83 0.84 0.82 0.83 0.86
14 22 25 28 25 21 27 21 24 27 21 26 10 5 2 2 5 5 5 4 4 4 4 4 3 5 3 2 6 4 4 4 5 5 3 4 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 4 4 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 3 5 4 5 4 5 3 5 4 4 4 4 4 4 4 5 4 5 4 4 4 5 3 4 5 3 4 5 4 5 4 6 2 5 4 4 4 3 5 4	0.84 0.85 0.86 0.86 0.86 0.87 0.87 0.84 0.85 0.85 0.86 0.86 0.86 0.83 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.84 0.83 0.83 0.84 0.82 0.83 0.86
