10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3	0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1	0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5	0.83 0.83 0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5 2 5 3 4 4 4 3 5 2 4 5 5 4	0.83 0.84 0.84 0.83 0.83 0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5 2 5 3 4 4 4 3 5 2 4 5 5 4 2 6 4 2 5 4 4 3 4 5 4 4 3	0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5 2 5 3 4 4 4 3 5 2 4 5 5 4 2 6 4 2 5 4 4 3 4 5 4 4 3 2 7 3 3 5 4 3 3 6 3 5 3 3	0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5 2 5 3 4 4 4 3 5 2 4 5 5 4 2 6 4 2 5 4 4 3 4 5 4 4 3 2 7 3 3 5 4 3 3 6 3 5 3 3 6 4 4 5 2 3 6 2 4 7 3 4	0.85 0.86 0.86 0.87 0.87 0.87 0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.88
10 17 19 22 25 21 22 23 22 25 24 24 25 12 4 3 2 4 3 4 5 3 3 5 3 4 5 3 5 1 2 4 4 4 4 4 3 5 2 4 5 4 5 2 5 3 4 4 4 3 5 2 4 5 5 4 2 6 4 2 5 4 4 3 4 5 4 4 3 2 7 3 3 5 4 3 3 6 3 5 3 3 6 4 4 5 2 3 6 2 4 7 3 4 7 5 2 5 5 3 3 6 3 4 6 1	0.85 0.86 0.86 0.87 0.87 0.87 0.87 0.85 0.86 0.86 0.87 0.87 0.87 0.84 0.85 0.86 0.86 0.86 0.84 0.85 0.85 0.85 0.83 0.84 0.84 0.83 0.83 0.88
